sent_id	tok_i_id	tok_j_id	upos_i	upos_j	deprel_i	deprel_j	lang_i	lang_j	switch	relation
train-s5	2	3	VERB	NOUN	root	obj	en	en	false	within
train-s5	3	4	NOUN	PRON	obj	obj	en	hi	true	boundary
train-s5	4	5	PRON	ADP	obj	case	hi	hi	false	within
train-s5	5	6	ADP	PRON	case	nsubj	hi	en	true	boundary
train-s5	6	7	PRON	VERB	nsubj	acl:relcl	en	en	false	within
train-s5	7	8	VERB	ADJ	acl:relcl	amod	en	en	false	boundary
train-s5	8	9	ADJ	NOUN	amod	nmod	en	en	false	within
train-s5	9	10	NOUN	CCONJ	nmod	cc	en	en	false	boundary
train-s5	10	11	CCONJ	PRON	cc	nsubj	en	en	false	within
train-s5	11	12	PRON	VERB	nsubj	conj	en	en	false	within
train-s5	12	13	VERB	ADP	conj	case	en	en	false	boundary
train-s5	13	14	ADP	ADJ	case	amod	en	en	false	within
train-s5	14	15	ADJ	NOUN	amod	obl	en	en	false	within
train-s6	2	3	PRON	VERB	nsubj	root	en	en	false	within
train-s6	3	4	VERB	VERB	root	xcomp	en	en	false	within
train-s6	4	5	VERB	SCONJ	xcomp	mark	en	en	false	boundary
train-s6	5	7	SCONJ	VERB	mark	advcl	en	hi	true	within
train-s6	7	8	VERB	AUX	advcl	aux	hi	hi	false	within
train-s6	8	9	AUX	AUX	aux	aux	hi	hi	false	within
train-s6	9	11	AUX	ADV	aux	advmod	hi	en	true	boundary
train-s6	11	12	ADV	ADJ	advmod	parataxis	en	en	false	within
train-s7	2	3	NOUN	ADP	nmod	case	hi	hi	false	within
train-s7	3	4	ADP	NOUN	case	nsubj	hi	hi	false	boundary
train-s7	4	5	NOUN	DET	nsubj	det	hi	en	true	within
train-s7	5	6	DET	NOUN	det	root	en	en	false	within
train-s7	6	7	NOUN	ADP	root	case	en	en	false	boundary
train-s7	7	8	ADP	DET	case	det	en	en	false	within
train-s7	8	9	DET	NOUN	det	nmod	en	hi	true	within
train-s7	9	10	NOUN	PART	nmod	mark	hi	en	true	boundary
train-s7	10	11	PART	VERB	mark	advcl	en	en	false	within
train-s7	11	12	VERB	DET	advcl	det	en	en	false	boundary
train-s7	12	13	DET	NOUN	det	obj	en	en	false	within
train-s8	2	3	PRON	NOUN	nmod	nsubj	en	en	false	within
train-s8	3	4	NOUN	AUX	nsubj	cop	en	en	false	within
train-s8	4	5	AUX	ADP	cop	case	en	en	false	within
train-s8	5	7	ADP	CCONJ	case	cc	en	hi	true	boundary
train-s8	7	8	CCONJ	PRON	cc	nmod	hi	hi	false	boundary
train-s8	8	9	PRON	NOUN	nmod	obj	hi	hi	false	within
train-s8	9	10	NOUN	VERB	obj	compound	hi	hi	false	within
train-s8	10	11	VERB	VERB	compound	advcl	hi	hi	false	within
train-s8	11	12	VERB	AUX	advcl	aux	hi	hi	false	within
train-s8	12	13	AUX	NOUN	aux	obl	hi	hi	false	boundary
train-s8	13	14	NOUN	ADP	obl	case	hi	hi	false	within
train-s8	14	16	ADP	INTJ	case	nsubj	hi	hi	false	boundary
train-s8	16	18	INTJ	VERB	nsubj	conj	hi	hi	false	within
train-s8	18	19	VERB	AUX	conj	aux	hi	hi	false	within
train-s8	19	20	AUX	AUX	aux	aux	hi	hi	false	within
train-s9	1	2	ADV	ADP	advmod	case	hi	hi	false	within
train-s9	2	3	ADP	VERB	case	advcl	hi	hi	false	boundary
train-s9	3	4	VERB	AUX	advcl	aux	hi	hi	false	within
train-s9	4	5	AUX	NOUN	aux	nmod	hi	en	true	boundary
train-s9	5	6	NOUN	ADP	nmod	case	en	hi	true	within
train-s9	6	7	ADP	NOUN	case	compound	hi	en	true	boundary
train-s9	7	8	NOUN	VERB	compound	root	en	hi	true	within
train-s9	8	9	VERB	AUX	root	aux	hi	hi	false	within
train-s9	9	10	AUX	AUX	aux	aux	hi	hi	false	within
train-s9	10	11	AUX	CCONJ	aux	cc	hi	en	true	boundary
train-s9	11	12	CCONJ	ADV	cc	advmod	en	en	false	within
train-s9	12	13	ADV	PRON	advmod	nsubj	en	en	false	within
train-s9	13	14	PRON	VERB	nsubj	conj	en	en	false	within
train-s9	14	15	VERB	SCONJ	conj	mark	en	en	false	boundary
train-s9	15	16	SCONJ	PRON	mark	nsubj	en	en	false	within
train-s9	16	17	PRON	AUX	nsubj	cop	en	en	false	within
train-s9	17	18	AUX	DET	cop	det	en	en	false	within
train-s9	18	19	DET	NOUN	det	obj	en	en	false	within
train-s9	19	20	NOUN	PRON	obj	nsubj	en	en	false	boundary
train-s9	20	21	PRON	AUX	nsubj	aux	en	en	false	within
train-s9	21	22	AUX	PART	aux	advmod	en	en	false	within
train-s9	22	23	PART	VERB	advmod	acl:relcl	en	en	false	within
train-s10	4	5	NOUN	ADP	nmod	case	hi	hi	false	within
train-s10	5	6	ADP	NOUN	case	nsubj	hi	hi	false	boundary
train-s10	6	8	NOUN	ADP	nsubj	case	hi	hi	false	boundary
train-s10	8	9	ADP	NOUN	case	compound	hi	en	true	boundary
train-s10	9	10	NOUN	VERB	compound	root	en	hi	true	within
train-s10	10	11	VERB	AUX	root	aux	hi	hi	false	within
train-s10	11	12	AUX	AUX	aux	aux	hi	hi	false	within
train-s10	12	13	AUX	NOUN	aux	obl	hi	en	true	within
train-s10	13	14	NOUN	ADP	obl	case	en	hi	true	within
train-s11	2	3	PART	PRON	advmod	nmod	hi	hi	false	boundary
train-s11	3	4	PRON	PART	nmod	advmod	hi	en	true	within
train-s11	4	5	PART	NOUN	advmod	root	en	en	false	within
train-s11	5	6	NOUN	PART	root	advmod	en	hi	true	within
train-s11	6	7	PART	AUX	advmod	cop	hi	hi	false	within
train-s11	7	8	AUX	CCONJ	cop	cc	hi	hi	false	boundary
train-s11	8	10	CCONJ	PART	cc	advmod	hi	hi	false	boundary
train-s11	10	11	PART	ADV	advmod	advmod	hi	en	true	boundary
train-s11	11	12	ADV	NOUN	advmod	conj	en	en	false	within
train-s11	12	13	NOUN	AUX	conj	cop	en	hi	true	within
train-s12	1	2	ADV	VERB	advmod	root	hi	hi	false	within
train-s12	2	3	VERB	PART	root	advmod	hi	hi	false	within
train-s12	3	4	PART	PART	advmod	advmod	hi	hi	false	within
train-s12	4	5	PART	AUX	advmod	aux	hi	hi	false	within
train-s12	5	7	AUX	ADP	aux	case	hi	hi	false	boundary
train-s12	7	8	ADP	VERB	case	advcl	hi	hi	false	boundary
train-s12	8	9	VERB	SCONJ	advcl	mark	hi	hi	false	within
train-s12	9	10	SCONJ	NOUN	mark	nsubj	hi	en	true	boundary
train-s12	10	11	NOUN	VERB	nsubj	advcl	en	hi	true	within
train-s12	11	12	VERB	AUX	advcl	aux	hi	hi	false	within
train-s12	12	13	AUX	NOUN	aux	nmod	hi	en	true	boundary
train-s12	13	14	NOUN	ADP	nmod	case	en	hi	true	within
train-s13	1	2	NOUN	PART	obj	advmod	en	hi	true	within
train-s13	2	3	PART	ADV	advmod	advmod	hi	hi	false	boundary
train-s13	3	4	ADV	VERB	advmod	root	hi	hi	false	within
train-s13	4	5	VERB	AUX	root	aux	hi	hi	false	within
train-s13	5	6	AUX	AUX	aux	aux	hi	hi	false	within
train-s13	6	7	AUX	ADV	aux	advmod	hi	hi	false	boundary
train-s13	7	8	ADV	PART	advmod	advmod	hi	hi	false	within
train-s13	8	9	PART	NOUN	advmod	compound	hi	en	true	boundary
train-s13	9	10	NOUN	NOUN	compound	obj	en	en	false	within
train-s13	10	11	NOUN	VERB	obj	acl:relcl	en	hi	true	within
train-s13	11	12	VERB	AUX	acl:relcl	aux	hi	hi	false	within
train-s13	12	13	AUX	AUX	aux	aux	hi	hi	false	within
train-s14	1	2	ADP	DET	case	det	en	en	false	within
train-s14	2	3	DET	ADJ	det	amod	en	en	false	within
train-s14	3	4	ADJ	NOUN	amod	obl	en	en	false	within
train-s14	4	6	NOUN	PRON	obl	nsubj	en	hi	true	within
train-s14	6	7	PRON	NOUN	nsubj	obj	hi	hi	false	within
train-s14	7	8	NOUN	PART	obj	advmod	hi	hi	false	within
train-s14	8	9	PART	VERB	advmod	root	hi	hi	false	within
train-s15	1	3	SCONJ	CCONJ	mark	cc	en	en	false	boundary
train-s15	3	5	CCONJ	VERB	cc	advcl	en	en	false	boundary
train-s15	5	6	VERB	PART	advcl	mark	en	en	false	boundary
train-s15	6	7	PART	VERB	mark	xcomp	en	en	false	within
train-s15	7	9	VERB	ADP	xcomp	case	en	en	false	boundary
train-s15	9	11	ADP	SCONJ	case	mark	en	hi	true	boundary
train-s15	11	12	SCONJ	PRON	mark	nsubj	hi	hi	false	within
train-s15	12	13	PRON	NOUN	nsubj	compound	hi	en	true	boundary
train-s15	13	14	NOUN	NOUN	compound	compound	en	en	false	within
train-s15	14	15	NOUN	VERB	compound	root	en	hi	true	within
train-s15	15	16	VERB	AUX	root	aux	hi	hi	false	within
train-s16	2	3	NOUN	VERB	nsubj	csubj	hi	hi	false	within
train-s16	3	4	VERB	AUX	csubj	cop	hi	en	true	within
train-s16	4	5	AUX	ADV	cop	advmod	en	en	false	within
train-s16	5	6	ADV	ADV	advmod	advmod	en	en	false	within
train-s16	6	7	ADV	ADJ	advmod	root	en	en	false	within
train-s16	7	8	ADJ	SCONJ	root	mark	en	en	false	boundary
train-s16	8	9	SCONJ	ADV	mark	mark	en	en	false	within
train-s16	9	10	ADV	PRON	mark	nsubj	en	en	false	within
train-s16	10	11	PRON	VERB	nsubj	advcl	en	en	false	within
train-s16	11	12	VERB	NOUN	advcl	nsubj	en	hi	true	boundary
train-s16	12	13	NOUN	VERB	nsubj	advcl	hi	hi	false	within
train-s16	13	14	VERB	ADV	advcl	advmod	hi	hi	false	within
train-s16	14	15	ADV	PRON	advmod	nsubj	hi	hi	false	within
train-s16	15	16	PRON	VERB	nsubj	advcl	hi	hi	false	within
train-s16	16	17	VERB	VERB	advcl	xcomp	hi	hi	false	within
train-s16	17	18	VERB	PART	xcomp	advmod	hi	hi	false	within
train-s17	1	2	VERB	PART	root	advmod	en	en	false	within
train-s17	2	3	PART	ADP	advmod	case	en	en	false	boundary
train-s17	3	4	ADP	NOUN	case	nmod	en	hi	true	within
train-s17	4	5	NOUN	ADP	nmod	case	hi	hi	false	within
train-s17	5	6	ADP	NOUN	case	obj	hi	hi	false	boundary
train-s17	6	7	NOUN	NOUN	obj	nmod	hi	en	true	within
train-s17	7	8	NOUN	ADV	nmod	advmod	en	en	false	boundary
train-s17	8	9	ADV	ADP	advmod	case	en	en	false	within
train-s17	9	10	ADP	DET	case	det	en	en	false	within
train-s17	10	11	DET	NOUN	det	obl	en	en	false	within
train-s18	1	2	ADJ	NOUN	amod	nmod	hi	hi	false	within
train-s18	2	4	NOUN	ADP	nmod	case	hi	hi	false	boundary
train-s18	4	5	ADP	NOUN	case	compound	hi	en	true	boundary
train-s18	5	6	NOUN	NOUN	compound	nmod	en	en	false	within
train-s18	6	7	NOUN	ADP	nmod	case	en	hi	true	within
train-s18	7	8	ADP	NOUN	case	nsubj	hi	en	true	boundary
train-s18	8	9	NOUN	VERB	nsubj	root	en	hi	true	within
train-s18	9	10	VERB	AUX	root	aux	hi	hi	false	within
train-s19	2	3	ADP	NOUN	case	nmod	hi	en	true	boundary
train-s19	3	4	NOUN	ADP	nmod	case	en	hi	true	within
train-s19	4	5	ADP	NOUN	case	nsubj	hi	en	true	boundary
train-s19	5	6	NOUN	AUX	nsubj	cop	en	en	false	within
train-s19	6	7	AUX	ADV	cop	advmod	en	en	false	within
train-s19	7	8	ADV	ADJ	advmod	root	en	en	false	within
train-s20	1	2	CCONJ	PRON	cc	nsubj	en	en	false	within
train-s20	2	3	PRON	AUX	nsubj	aux	en	en	false	within
train-s20	3	4	AUX	VERB	aux	root	en	en	false	within
train-s20	4	5	VERB	ADV	root	advmod	en	hi	true	boundary
train-s20	5	6	ADV	ADJ	advmod	xcomp	hi	hi	false	within
train-s20	6	7	ADJ	VERB	xcomp	xcomp	hi	hi	false	within
train-s20	7	8	VERB	AUX	xcomp	aux	hi	hi	false	within
train-s20	8	9	AUX	ADV	aux	advmod	hi	hi	false	boundary
train-s20	9	10	ADV	ADJ	advmod	xcomp	hi	hi	false	within
train-s20	10	11	ADJ	VERB	xcomp	conj	hi	hi	false	within
train-s20	11	12	VERB	AUX	conj	aux	hi	hi	false	within
train-s21	2	3	NOUN	NOUN	nmod	nsubj	hi	hi	false	within
train-s21	3	4	NOUN	NOUN	nsubj	obl	hi	hi	false	boundary
train-s21	4	5	NOUN	ADP	obl	case	hi	hi	false	within
train-s21	5	6	ADP	VERB	case	advcl	hi	hi	false	boundary
train-s21	6	7	VERB	AUX	advcl	aux	hi	hi	false	within
train-s21	7	8	AUX	VERB	aux	root	hi	hi	false	boundary
train-s21	8	10	VERB	AUX	root	aux	hi	en	true	boundary
train-s21	10	11	AUX	PART	aux	advmod	en	en	false	within
train-s21	11	12	PART	PRON	advmod	nsubj	en	en	false	within
train-s21	12	13	PRON	VERB	nsubj	xcomp	en	en	false	within
train-s21	13	14	VERB	PRON	xcomp	expl	en	en	false	within
train-s22	1	2	ADJ	NOUN	amod	obl	en	en	false	within
train-s22	2	3	NOUN	ADP	obl	case	en	hi	true	within
train-s22	3	4	ADP	PRON	case	nmod	hi	en	true	boundary
train-s22	4	5	PRON	NOUN	nmod	obj	en	en	false	within
train-s22	5	6	NOUN	PRON	obj	nmod	en	en	false	boundary
train-s22	6	7	PRON	NOUN	nmod	conj	en	en	false	within
train-s22	7	8	NOUN	VERB	conj	csubj	en	hi	true	boundary
train-s22	8	9	VERB	SCONJ	csubj	mark	hi	hi	false	within
train-s22	9	10	SCONJ	NOUN	mark	obl	hi	hi	false	boundary
train-s22	10	11	NOUN	ADP	obl	case	hi	hi	false	within
train-s22	11	12	ADP	NOUN	case	nmod	hi	hi	false	boundary
train-s22	12	13	NOUN	ADP	nmod	case	hi	hi	false	within
train-s22	13	14	ADP	VERB	case	acl	hi	en	true	boundary
train-s22	14	15	VERB	NOUN	acl	obj	en	hi	true	within
train-s22	15	16	NOUN	VERB	obj	root	hi	hi	false	within
train-s22	16	17	VERB	AUX	root	aux	hi	hi	false	within
train-s23	1	2	NUM	NOUN	nummod	obl	en	en	false	within
train-s23	2	3	NOUN	ADP	obl	case	en	hi	true	within
train-s23	3	5	ADP	VERB	case	root	hi	hi	false	boundary
train-s23	5	6	VERB	NOUN	root	nsubj	hi	en	true	boundary
train-s23	6	7	NOUN	AUX	nsubj	cop	en	en	false	within
train-s23	7	8	AUX	PRON	cop	nmod	en	en	false	within
train-s23	8	9	PRON	NOUN	nmod	ccomp	en	en	false	within
train-s24	1	2	VERB	ADP	root	case	en	en	false	boundary
train-s24	2	3	ADP	DET	case	det	en	en	false	within
train-s24	3	4	DET	NOUN	det	obl	en	en	false	within
train-s24	4	5	NOUN	ADV	obl	advmod	en	hi	true	boundary
train-s24	5	6	ADV	PRON	advmod	nmod	hi	hi	false	boundary
train-s24	6	7	PRON	NOUN	nmod	nsubj	hi	en	true	within
train-s24	7	8	NOUN	PART	nsubj	advmod	en	hi	true	within
train-s24	8	9	PART	NOUN	advmod	nmod	hi	hi	false	boundary
train-s24	9	10	NOUN	ADP	nmod	case	hi	hi	false	within
train-s24	10	11	ADP	ADJ	case	amod	hi	hi	false	boundary
train-s24	11	12	ADJ	NOUN	amod	obj	hi	hi	false	boundary
train-s24	12	13	NOUN	VERB	obj	acl	hi	hi	false	within
train-s24	13	14	VERB	NOUN	acl	obj	hi	hi	false	within
train-s24	14	15	NOUN	VERB	obj	acl:relcl	hi	hi	false	within
train-s25	1	2	PRON	NUM	nmod	nummod	hi	hi	false	within
train-s25	2	3	NUM	ADJ	nummod	amod	hi	en	true	within
train-s25	3	4	ADJ	NOUN	amod	nsubj	en	en	false	within
train-s25	4	5	NOUN	ADP	nsubj	case	en	hi	true	within
train-s25	5	6	ADP	NOUN	case	root	hi	hi	false	boundary
train-s25	6	7	NOUN	PART	root	advmod	hi	hi	false	within
train-s25	7	8	PART	PRON	advmod	nmod	hi	hi	false	boundary
train-s25	8	9	PRON	NOUN	nmod	obj	hi	en	true	within
train-s26	1	2	SCONJ	NOUN	mark	compound	hi	en	true	boundary
train-s26	2	3	NOUN	NOUN	compound	nsubj	en	en	false	within
train-s26	3	4	NOUN	ADP	nsubj	advcl	en	en	false	within
train-s26	4	5	ADP	AUX	advcl	cop	en	hi	true	within
train-s26	5	6	AUX	SCONJ	cop	mark	hi	hi	false	boundary
train-s26	6	7	SCONJ	PRON	mark	nsubj	hi	hi	false	within
train-s26	7	10	PRON	ADP	nsubj	case	hi	hi	false	boundary
train-s26	10	11	ADP	VERB	case	root	hi	hi	false	boundary
train-s27	1	2	DET	NOUN	det	nsubj	hi	hi	false	within
train-s27	2	3	NOUN	ADJ	nsubj	amod	hi	en	true	boundary
train-s27	3	4	ADJ	NOUN	amod	compound	en	en	false	within
train-s27	4	5	NOUN	VERB	compound	acl:relcl	en	hi	true	within
train-s27	5	6	VERB	AUX	acl:relcl	aux	hi	hi	false	within
train-s27	6	7	AUX	PART	aux	advmod	hi	hi	false	within
train-s27	7	8	PART	PROPN	advmod	nsubj	hi	hi	false	boundary
train-s27	8	9	PROPN	VERB	nsubj	root	hi	hi	false	within
train-s27	9	10	VERB	PRON	root	nmod	hi	hi	false	boundary
train-s27	10	11	PRON	NOUN	nmod	nsubj	hi	hi	false	within
train-s27	11	12	NOUN	PART	nsubj	advmod	hi	hi	false	within
train-s27	12	13	PART	ADJ	advmod	xcomp	hi	en	true	boundary
train-s27	13	14	ADJ	VERB	xcomp	ccomp	en	hi	true	within
train-s28	1	2	VERB	ADJ	root	xcomp	hi	hi	false	boundary
train-s28	2	3	ADJ	VERB	xcomp	advcl	hi	hi	false	within
train-s28	3	5	VERB	PROPN	advcl	nmod	hi	en	true	boundary
train-s28	5	6	PROPN	ADP	nmod	case	en	hi	true	within
train-s28	6	7	ADP	ADJ	case	amod	hi	en	true	boundary
train-s28	7	8	ADJ	NOUN	amod	obl	en	en	false	within
train-s28	8	9	NOUN	CCONJ	obl	cc	en	hi	true	boundary
train-s28	9	10	CCONJ	NOUN	cc	conj	hi	en	true	within
train-s28	10	11	NOUN	ADP	conj	case	en	hi	true	within
train-s28	11	12	ADP	NOUN	case	compound	hi	hi	false	boundary
train-s28	12	13	NOUN	VERB	compound	acl	hi	hi	false	within
train-s28	13	14	VERB	AUX	acl	aux	hi	hi	false	within
train-s29	1	2	VERB	ADP	root	case	en	en	false	boundary
train-s29	2	3	ADP	DET	case	det	en	en	false	within
train-s29	3	4	DET	NOUN	det	obl	en	en	false	within
train-s29	4	5	NOUN	ADP	obl	case	en	en	false	boundary
train-s29	5	6	ADP	NOUN	case	obl	en	hi	true	within
train-s29	6	8	NOUN	NOUN	obl	conj	hi	en	true	within
train-s29	8	9	NOUN	ADP	conj	case	en	en	false	boundary
train-s29	9	10	ADP	NOUN	case	nmod	en	en	false	within
train-s29	10	12	NOUN	NOUN	nmod	nmod	en	hi	true	boundary
train-s29	12	13	NOUN	ADP	nmod	case	hi	hi	false	within
train-s29	13	14	ADP	NOUN	case	conj	hi	hi	false	boundary
train-s29	14	15	NOUN	CCONJ	conj	cc	hi	hi	false	boundary
train-s29	15	16	CCONJ	NUM	cc	nummod	hi	hi	false	within
train-s29	16	17	NUM	NOUN	nummod	compound	hi	en	true	within
train-s29	17	18	NOUN	NOUN	compound	conj	en	en	false	within
train-s30	1	2	ADV	VERB	advmod	root	en	en	false	within
train-s30	2	3	VERB	ADP	root	case	en	en	false	boundary
train-s30	3	4	ADP	DET	case	det	en	en	false	within
train-s30	4	5	DET	NOUN	det	compound	en	en	false	within
train-s30	5	6	NOUN	NOUN	compound	obl	en	en	false	within
train-s30	6	10	NOUN	ADP	obl	case	en	hi	true	boundary
train-s30	10	11	ADP	NOUN	case	compound	hi	hi	false	boundary
train-s30	11	12	NOUN	NOUN	compound	nsubj	hi	en	true	within
train-s30	12	13	NOUN	ADV	nsubj	advmod	en	hi	true	within
train-s30	13	14	ADV	ADJ	advmod	ccomp	hi	en	true	within
train-s30	14	15	ADJ	AUX	ccomp	cop	en	hi	true	within
train-s31	1	2	VERB	ADP	root	case	en	en	false	boundary
train-s31	2	3	ADP	NOUN	case	obl	en	en	false	within
train-s31	3	4	NOUN	VERB	obl	xcomp	en	hi	true	boundary
train-s31	4	5	VERB	SCONJ	xcomp	mark	hi	hi	false	within
train-s31	5	6	SCONJ	PART	mark	advmod	hi	hi	false	boundary
train-s31	6	7	PART	VERB	advmod	conj	hi	hi	false	within
train-s32	1	2	PRON	VERB	nsubj	root	en	en	false	within
train-s32	2	3	VERB	PRON	root	nmod	en	en	false	boundary
train-s32	3	4	PRON	NOUN	nmod	obj	en	en	false	within
train-s32	4	5	NOUN	ADP	obj	case	en	en	false	boundary
train-s32	5	6	ADP	PRON	case	nmod	en	en	false	within
train-s32	6	7	PRON	NOUN	nmod	obl	en	en	false	within
train-s32	7	8	NOUN	CCONJ	obl	cc	en	en	false	boundary
train-s32	8	9	CCONJ	VERB	cc	conj	en	en	false	boundary
train-s32	9	11	VERB	NOUN	conj	vocative	en	hi	true	boundary
train-s32	11	12	NOUN	VERB	vocative	advcl	hi	hi	false	within
train-s32	12	13	VERB	PRON	advcl	nmod	hi	hi	false	boundary
train-s32	13	14	PRON	NOUN	nmod	nsubj	hi	hi	false	within
train-s32	14	15	NOUN	ADV	nsubj	advmod	hi	hi	false	within
train-s32	15	16	ADV	VERB	advmod	conj	hi	hi	false	within
train-s33	1	2	ADV	ADV	advmod	advmod	hi	hi	false	within
train-s33	2	3	ADV	NOUN	advmod	nsubj	hi	en	true	within
train-s33	3	4	NOUN	ADJ	nsubj	root	en	en	false	within
train-s33	4	5	ADJ	NOUN	root	nmod	en	en	false	within
train-s34	2	3	PRON	AUX	expl	cop	en	en	false	within
train-s34	3	4	AUX	ADV	cop	advmod	en	en	false	within
train-s34	4	5	ADV	DET	advmod	det	en	en	false	within
train-s34	5	6	DET	ADJ	det	amod	en	en	false	within
train-s34	6	7	ADJ	NOUN	amod	root	en	en	false	within
train-s34	7	8	NOUN	ADP	root	case	en	en	false	boundary
train-s34	8	10	ADP	PRON	case	nsubj	en	hi	true	within
train-s34	10	11	PRON	DET	nsubj	det	hi	hi	false	boundary
train-s34	11	12	DET	NOUN	det	compound	hi	hi	false	within
train-s34	12	13	NOUN	PART	compound	advmod	hi	hi	false	within
train-s34	13	14	PART	VERB	advmod	amod	hi	hi	false	within
train-s35	1	2	DET	NOUN	det	nmod	hi	hi	false	within
train-s35	2	3	NOUN	ADP	nmod	case	hi	hi	false	within
train-s35	3	4	ADP	ADJ	case	amod	hi	en	true	boundary
train-s35	4	5	ADJ	NOUN	amod	root	en	en	false	within
train-s35	5	6	NOUN	AUX	root	cop	en	hi	true	within
train-s35	6	7	AUX	NOUN	cop	vocative	hi	hi	false	within
train-s36	2	3	NOUN	ADP	nmod	case	en	hi	true	within
train-s36	3	4	ADP	NOUN	case	root	hi	hi	false	boundary
train-s36	4	5	NOUN	AUX	root	cop	hi	hi	false	within
train-s36	5	7	AUX	CCONJ	cop	cc	hi	en	true	boundary
train-s36	7	8	CCONJ	ADV	cc	advmod	en	en	false	within
train-s36	8	9	ADV	DET	advmod	det	en	en	false	within
train-s36	9	10	DET	ADJ	det	amod	en	en	false	within
train-s36	10	11	ADJ	NOUN	amod	conj	en	en	false	within
train-s37	2	3	ADP	NOUN	case	nmod	hi	hi	false	boundary
train-s37	3	4	NOUN	ADJ	nmod	amod	hi	en	true	boundary
train-s37	4	5	ADJ	NOUN	amod	obj	en	en	false	within
train-s37	5	6	NOUN	ADP	obj	case	en	hi	true	within
train-s37	6	7	ADP	ADP	case	case	hi	hi	false	within
train-s37	7	8	ADP	NOUN	case	compound	hi	en	true	boundary
train-s37	8	9	NOUN	VERB	compound	root	en	hi	true	within
train-s37	9	10	VERB	AUX	root	aux	hi	hi	false	within
train-s38	1	2	PRON	VERB	nsubj	root	en	en	false	within
train-s38	2	3	VERB	VERB	root	csubj	en	en	false	boundary
train-s38	3	5	VERB	PROPN	csubj	flat	en	hi	true	boundary
train-s38	5	6	PROPN	ADP	flat	case	hi	hi	false	within
train-s38	6	7	ADP	NOUN	case	obj	hi	hi	false	boundary
train-s38	7	8	NOUN	AUX	obj	cop	hi	en	true	boundary
train-s38	8	9	AUX	DET	cop	det	en	en	false	within
train-s38	9	10	DET	NOUN	det	xcomp	en	en	false	within
train-s38	10	11	NOUN	ADP	xcomp	case	en	en	false	boundary
train-s38	11	12	ADP	NOUN	case	nmod	en	en	false	within
train-s39	1	2	PRON	DET	nsubj	det	hi	hi	false	boundary
train-s39	2	3	DET	ADJ	det	amod	hi	en	true	within
