sent_id	token_id	upos	head	deprel	lang
12	3	PRON	0	root	te
13	1	PRON	4	nsubj	te
13	2	NOUN	4	obl	en
13	3	ADP	2	case	te
13	4	VERB	0	root	te
14	1	PRON	2	nsubj	te
14	2	VERB	0	root	te
14	3	NOUN	2	xcomp	en
15	1	PRON	5	nsubj	te
15	2	PRON	5	obl	te
15	3	ADP	2	case	te
15	4	NOUN	5	obj	en
15	5	VERB	0	root	te
16	1	PRON	4	nsubj	te
16	2	ADV	4	advmod	te
16	3	NOUN	4	obj	en
16	4	VERB	0	root	te
17	1	PRON	3	nsubj	te
17	2	NOUN	3	compound	en
17	3	VERB	0	root	te
18	1	NOUN	2	obj	en
18	2	VERB	0	root	te
19	1	PRON	3	nsubj	te
19	2	NOUN	3	nmod	te
19	3	NOUN	0	root	en
20	1	PRON	4	nsubj	te
20	2	PRON	3	nmod	te
20	3	NOUN	4	nmod	en
20	4	NOUN	0	root	te
21	1	PRON	3	obj	te
21	2	NOUN	3	nsubj	en
21	3	VERB	0	root	te
22	1	PRON	3	obj	te
22	2	NOUN	3	nsubj	en
22	3	VERB	0	root	te
23	1	PRON	4	nsubj	te
23	2	NOUN	3	obj	en
23	3	VERB	4	advcl	te
23	4	VERB	0	root	te
24	1	NOUN	2	obj	en
24	2	VERB	4	advcl	te
24	3	PRON	4	nsubj	te
24	4	VERB	0	root	te
25	1	PROPN	4	nsubj	te
25	2	PROPN	4	iobj	te
25	3	NOUN	4	obj	en
25	4	VERB	0	root	te
26	1	PRON	3	nsubj	te
26	2	NOUN	3	obj	en
26	3	VERB	0	root	te
27	1	PROPN	4	nsubj	te
27	2	PRON	4	iobj	te
27	3	NOUN	4	obj	en
27	4	VERB	0	root	te
28	1	PRON	3	nsubj	te
28	2	PROPN	3	compound	en
28	3	PRON	0	root	te
29	1	PRON	4	nsubj	te
29	2	PROPN	3	compound	en
29	3	PRON	4	obj	te
29	4	VERB	0	root	te
30	1	PRON	3	nsubj	te
30	2	NOUN	3	obj	en
30	3	VERB	0	root	te
31	1	PRON	4	nsubj	te
31	2	NOUN	4	obj	en
31	3	ADV	4	advmod	te
31	4	VERB	0	root	te
32	1	PRON	3	nsubj	te
32	2	NOUN	3	obj	en
32	3	VERB	0	root	te
33	1	PRON	3	nsubj	te
33	2	NOUN	3	obj	en
33	3	VERB	0	root	te
34	1	NOUN	2	nsubj	en
34	2	VERB	5	advcl	te
34	4	NOUN	5	nsubj	te
34	5	VERB	0	root	te
35	1	NOUN	3	nsubj	en
35	2	ADV	3	advmod	te
35	3	VERB	0	root	te
36	1	PRON	4	nsubj	te
36	2	DET	3	det	te
36	3	NOUN	4	nmod	en
36	4	NOUN	0	root	te
37	1	PROPN	5	nsubj	te
37	2	PROPN	3	nsubj	te
37	3	VERB	4	acl	te
37	4	NOUN	5	obj	en
37	5	VERB	0	root	te
38	1	NOUN	2	obj	en
38	2	VERB	3	acl	te
38	3	NOUN	6	nsubj	te
38	4	NOUN	6	obl	te
38	5	ADP	4	case	te
38	6	VERB	0	root	te
39	1	PRON	2	nmod	te
39	2	NOUN	3	nsubj	en
39	3	VERB	8	ccomp	te
39	5	DET	6	det	te
39	6	NOUN	8	obj	en
39	7	ADV	8	advmod	te
39	8	VERB	0	root	te
40	1	NOUN	3	obl	en
40	2	NOUN	3	obl	te
40	3	VERB	0	root	te
41	1	PRON	2	nmod	te
41	2	NOUN	5	obl	te
41	3	DET	4	det	te
41	4	NOUN	5	nsubj	en
41	5	VERB	0	root	te
42	1	PRON	5	nsubj	te
42	2	DET	4	det	te
42	3	NOUN	4	compound	en
42	4	NOUN	5	obj	en
42	5	VERB	0	root	te
43	1	PROPN	5	nsubj	te
43	2	ADV	5	advmod	te
43	3	NUM	4	nummod	en
43	4	NOUN	5	obl	en
43	5	VERB	0	root	te
44	1	NOUN	3	nummod	te
44	2	NOUN	3	nsubj	en
44	3	VERB	0	root	en
44	4	VERB	3	obj	te
45	1	PRON	2	nsubj	te
45	2	PROPN	3	nmod	en
45	3	NOUN	0	root	en
45	4	VERB	3	nsubj	te
45	5	ADJ	3	xcomp	te
46	1	NUM	2	obl	en
46	2	ADP	3	case	te
46	3	NOUN	0	root	en
46	4	VERB	3	compound	te
47	1	PROPN	2	nsubj	en
47	2	PRON	3	obl	te
47	3	DET	4	det	_
47	4	NOUN	0	root	en
47	5	VERB	4	compound	te
48	1	ADV	2	advmod	en
48	2	ADJ	3	amod	te
48	3	VERB	0	root	te
49	1	PROPN	2	compound	en
49	2	PROPN	3	nsubj	en
49	3	ADV	4	advmod	te
49	4	ADJ	0	root	te
50	1	NOUN	4	obl	en
50	2	PRON	4	nsubj	te
50	3	NOUN	4	obl	te
50	4	VERB	0	root	te
51	1	NOUN	4	obl	en
51	2	PRON	4	nsubj	te
51	3	NOUN	4	obl	te
51	4	VERB	0	root	te
52	1	PRON	5	iobj	te
52	2	DET	3	det	te
52	3	NOUN	5	obj	en
52	4	VERB	5	compound	te
52	5	VERB	0	root	te
53	1	PRON	2	nmod	te
53	2	NOUN	5	obj	en
53	3	PRON	5	nsubj	te
53	4	VERB	5	compound	te
53	5	VERB	0	root	te
54	1	PRON	3	nsubj	te
54	2	NOUN	3	obj	en
54	3	VERB	0	root	te
55	1	PRON	5	nsubj	te
55	2	DET	3	det	te
55	3	NOUN	5	obl	te
55	4	NOUN	5	compound	te
55	5	VERB	0	root	te
56	1	PRON	3	nsubj	te
56	2	PRON	3	nmod	te
56	3	NOUN	0	root	en
57	1	PRON	3	nsubj	te
57	2	NOUN	3	obj	en
57	3	VERB	0	root	te
58	1	PRON	3	nsubj	te
58	2	NOUN	3	obj	en
58	3	VERB	0	root	te
59	1	NOUN	3	nsubj	en
59	2	NOUN	3	obj	te
59	3	VERB	0	root	te
60	1	PRON	3	nsubj	te
60	2	NOUN	3	obj	en
60	3	VERB	0	root	te
61	1	DET	2	det	te
61	2	NOUN	0	root	en
61	3	NOUN	2	nmod	en
61	4	VERB	2	nsubj	te
62	1	NOUN	3	nsubj	en
62	2	NOUN	3	obj	en
62	3	VERB	0	root	te
